layer,agentdojo_strict_ref,agentdyn_after_adaptation_lr1e-4,injecagent_after_adaptation_lr1e-4
0,0.8970,0.9804,1.0000
1,0.8953,0.9774,1.0000
2,0.9600,0.9769,0.9994
3,0.9724,0.9736,0.9980
4,0.9695,0.9736,0.9998
5,0.9593,0.9702,0.9999
6,0.9674,0.9747,1.0000
7,0.9789,0.9747,1.0000
8,0.9745,0.9759,1.0000
9,0.9642,0.9763,1.0000
10,0.9681,0.9777,1.0000
11,0.9653,0.9724,1.0000
12,0.9613,0.9736,1.0000
13,0.9635,0.9705,1.0000
14,0.9589,0.9704,1.0000
15,0.9435,0.9632,1.0000
16,0.9498,0.9591,1.0000
17,0.9381,0.9518,1.0000
18,0.9349,0.9520,1.0000
19,0.9239,0.9480,1.0000
20,0.9172,0.9563,1.0000
21,0.9261,0.9608,1.0000
22,0.9240,0.9525,1.0000
23,0.9360,0.9516,1.0000
