feature_type,mode,start_layer,end_layer,best_epoch,train_auroc,train_auprc,train_log_loss,val_auroc,val_auprc,val_log_loss,test_auroc,test_auprc,test_log_loss
attn,single,2,2,60,1.0,1.0,0.0001398994322285045,1.0,1.0,0.0033575459819506423,1.0,0.9999999999999999,0.06552284994664823
attn,single,4,4,60,1.0,1.0,8.838716992613919e-05,1.0,1.0,0.038041018834507126,1.0,0.9999999999999999,0.005956053605655968
attn,single,5,5,60,1.0,1.0,6.413728943665322e-05,1.0,1.0,0.005481455787820706,1.0,0.9999999999999999,0.000216179429947128
attn,single,6,6,60,1.0,1.0,8.52068756889234e-05,1.0,1.0,0.009425159171310002,1.0,0.9999999999999999,0.00028947057545772987
attn,single,7,7,60,1.0,1.0,0.00012404408844385743,1.0,1.0,0.0035377423825803662,1.0,0.9999999999999999,0.00026645238987402003
attn,single,8,8,60,1.0,1.0,4.712118658948175e-05,1.0,1.0,0.000558185503320328,1.0,0.9999999999999999,0.0005373682047497786
attn,single,9,9,60,1.0,1.0,6.450840261201911e-05,1.0,1.0,0.00020718866054990863,1.0,0.9999999999999999,0.00014697359108384447
attn,single,10,10,60,1.0,1.0,6.788463543129043e-05,1.0,1.0,0.004887581503111867,1.0,0.9999999999999999,0.0009001107179176279
attn,single,11,11,60,1.0,1.0,7.884381446337718e-05,1.0,1.0,0.004967130941743594,1.0,0.9999999999999999,0.0004643478341556848
attn,single,12,12,60,1.0,1.0,3.348823137796793e-05,1.0,1.0,4.3498495691647426e-05,1.0,0.9999999999999999,5.029055733139436e-05
attn,single,13,13,60,1.0,1.0,4.971058004225762e-05,1.0,1.0,0.00023614326043264636,1.0,0.9999999999999999,0.0001762231504855644
attn,single,14,14,60,1.0,1.0,5.294462361715532e-05,1.0,1.0,0.0004337538790357436,1.0,0.9999999999999999,0.000294559488134959
attn,single,15,15,60,1.0,1.0,4.6346193288246994e-05,1.0,1.0,3.745400023621222e-05,1.0,0.9999999999999999,0.0001408029001131822
attn,single,16,16,60,1.0,1.0,5.316097628082677e-05,1.0,1.0,0.0007778946107896706,1.0,0.9999999999999999,0.0018287248472306844
attn,single,17,17,60,1.0,1.0,5.5550350435609786e-05,1.0,1.0,0.0006944320753261508,1.0,0.9999999999999999,0.006954915172424871
attn,single,18,18,60,1.0,1.0,5.753794481159422e-05,1.0,1.0,0.0006998078481511775,1.0,0.9999999999999999,0.000893768943843841
attn,single,19,19,60,1.0,1.0,3.987212348765598e-05,1.0,1.0,0.0008237552320530751,1.0,0.9999999999999999,0.00010406719544966889
attn,single,20,20,60,1.0,1.0,5.041525295660152e-05,1.0,1.0,0.0003007112905114062,1.0,0.9999999999999999,0.00026895779561640973
attn,single,21,21,60,1.0,1.0,6.20395717142243e-05,1.0,1.0,0.0022199340987359042,1.0,0.9999999999999999,0.00030633958124534025
attn,single,22,22,60,1.0,1.0,3.873980633471959e-05,1.0,1.0,0.0003383023676259959,1.0,0.9999999999999999,0.00045173118639350954
attn,single,23,23,60,1.0,1.0,0.00011421782107889103,1.0,1.0,0.0020984673810166884,1.0,0.9999999999999999,0.0014104327055419572
attn,single,24,24,50,1.0,1.0,0.00032162468772348613,1.0,1.0,0.006683288801158232,1.0,0.9999999999999999,0.002380009316036979
attn,single,25,25,60,1.0,1.0,0.00014449419512896068,1.0,1.0,0.011612423400410939,1.0,0.9999999999999999,0.013090988490711284
attn,single,26,26,55,1.0,1.0,0.00038309039822794367,1.0,1.0,0.025182200602031142,1.0,0.9999999999999999,0.044590991889733256
attn,single,27,27,60,1.0,1.0,0.00014520064914368014,1.0,1.0,0.004478446256484573,1.0,0.9999999999999999,0.005302380977944095
attn,single,28,28,60,1.0,1.0,0.0003074581740100397,1.0,1.0,0.004530928609781862,0.999972442680776,0.9999759290630739,0.008548995963186467
attn,single,29,29,25,1.0,1.0,0.0014383516354069576,1.0,1.0,0.039783283310433806,0.9986496913580247,0.9987834548908432,0.05014117846421758
